Unit 161 -> (tensor(0.9771, device='cuda:0', dtype=torch.float16), 0.029296875)
Unit 162 -> (tensor(0.9951, device='cuda:0', dtype=torch.float16), 0.796630859375)
Unit 163 -> (tensor(0.9858, device='cuda:0', dtype=torch.float16), 0.02734375)
Unit 164 -> (tensor(0.9897, device='cuda:0', dtype=torch.float16), 1.638671875)
Unit 165 -> (tensor(0.9585, device='cuda:0', dtype=torch.float16), 0.0146484375)
Unit 166 -> (tensor(0.9463, device='cuda:0', dtype=torch.float16), 1.9921875)
Unit 167 -> (tensor(0.9819, device='cuda:0', dtype=torch.float16), 0.2685546875)
Unit 168 -> (tensor(0.9800, device='cuda:0', dtype=torch.float16), 1.96484375)
Unit 169 -> (tensor(0.9834, device='cuda:0', dtype=torch.float16), 1.97998046875)
Unit 170 -> (tensor(0.2502, device='cuda:0', dtype=torch.float16), 0.88812255859375)
Unit 171 -> (tensor(0.9785, device='cuda:0', dtype=torch.float16), 1.95947265625)
Unit 172 -> (tensor(0.9419, device='cuda:0', dtype=torch.float16), 0.02294921875)
Unit 173 -> (tensor(0.9829, device='cuda:0', dtype=torch.float16), 1.56689453125)
Unit 174 -> (tensor(0.8594, device='cuda:0', dtype=torch.float16), 1.84375)
Unit 175 -> (tensor(0.9746, device='cuda:0', dtype=torch.float16), 0.0869140625)
Unit 176 -> (tensor(0.9800, device='cuda:0', dtype=torch.float16), 1.966796875)
Unit 177 -> (tensor(0.9849, device='cuda:0', dtype=torch.float16), 0.025390625)
Unit 178 -> (tensor(0.9932, device='cuda:0', dtype=torch.float16), 1.88330078125)
Unit 179 -> (tensor(0.7178, device='cuda:0', dtype=torch.float16), 0.34033203125)
Unit 180 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 181 -> (tensor(0.9951, device='cuda:0', dtype=torch.float16), 0.31201171875)
Unit 182 -> (tensor(0.9316, device='cuda:0', dtype=torch.float16), 0.052734375)
Unit 183 -> (tensor(0.9619, device='cuda:0', dtype=torch.float16), 0.05224609375)
Unit 184 -> (tensor(0.8208, device='cuda:0', dtype=torch.float16), 0.05029296875)
Unit 185 -> (tensor(0.8579, device='cuda:0', dtype=torch.float16), 0.14794921875)
Unit 186 -> (tensor(0.9253, device='cuda:0', dtype=torch.float16), 1.97119140625)
Unit 187 -> (tensor(0.9863, device='cuda:0', dtype=torch.float16), 1.9072265625)
Unit 188 -> (tensor(0.9971, device='cuda:0', dtype=torch.float16), 1.427978515625)
Unit 189 -> (tensor(0.9570, device='cuda:0', dtype=torch.float16), 0.06103515625)
Unit 190 -> (tensor(0.9844, device='cuda:0', dtype=torch.float16), 1.98876953125)
Unit 191 -> (tensor(0.9922, device='cuda:0', dtype=torch.float16), 0.04931640625)
Unit 192 -> (tensor(0.9824, device='cuda:0', dtype=torch.float16), 0.0458984375)
Unit 193 -> (tensor(0.5723, device='cuda:0', dtype=torch.float16), 0.23583984375)
Unit 194 -> (tensor(0.0290, device='cuda:0', dtype=torch.float16), 1.076416015625)
Unit 195 -> (tensor(0.0200, device='cuda:0', dtype=torch.float16), 0.9808197021484375)
