
Unit 96 -> (tensor(0.9937, device='cuda:0', dtype=torch.float16), 1.320556640625)
Unit 97 -> (tensor(0.9229, device='cuda:0', dtype=torch.float16), 0.04150390625)
Unit 98 -> (tensor(0.9346, device='cuda:0', dtype=torch.float16), 1.9501953125)
Unit 99 -> (tensor(0.9790, device='cuda:0', dtype=torch.float16), 0.07177734375)
Unit 100 -> (tensor(0.9756, device='cuda:0', dtype=torch.float16), 1.89404296875)
Unit 101 -> (tensor(0.9673, device='cuda:0', dtype=torch.float16), 1.9560546875)
Unit 102 -> (tensor(0.9741, device='cuda:0', dtype=torch.float16), 0.09521484375)
Unit 103 -> (tensor(0.9453, device='cuda:0', dtype=torch.float16), 0.05322265625)
Unit 104 -> (tensor(0.9238, device='cuda:0', dtype=torch.float16), 0.0380859375)
Unit 105 -> (tensor(0.9766, device='cuda:0', dtype=torch.float16), 0.971282958984375)
Unit 106 -> (tensor(0.9185, device='cuda:0', dtype=torch.float16), 0.0703125)
Unit 107 -> (tensor(0.9473, device='cuda:0', dtype=torch.float16), 0.04931640625)
Unit 108 -> (tensor(0.9243, device='cuda:0', dtype=torch.float16), 0.10546875)
Unit 109 -> (tensor(0.9409, device='cuda:0', dtype=torch.float16), 0.0546875)
Unit 110 -> (tensor(0.9160, device='cuda:0', dtype=torch.float16), 0.04345703125)
Unit 111 -> (tensor(0.9624, device='cuda:0', dtype=torch.float16), 1.9140625)
Unit 112 -> (tensor(0.9517, device='cuda:0', dtype=torch.float16), 0.05322265625)
Unit 113 -> (tensor(0.9023, device='cuda:0', dtype=torch.float16), 0.0478515625)
Unit 114 -> (tensor(0.9927, device='cuda:0', dtype=torch.float16), 1.75634765625)
Unit 115 -> (tensor(0.9502, device='cuda:0', dtype=torch.float16), 1.935546875)
Unit 116 -> (tensor(0.9697, device='cuda:0', dtype=torch.float16), 0.10205078125)
Unit 117 -> (tensor(0.9448, device='cuda:0', dtype=torch.float16), 0.1220703125)
Unit 118 -> (tensor(0.9702, device='cuda:0', dtype=torch.float16), 0.0458984375)
Unit 119 -> (tensor(0.8960, device='cuda:0', dtype=torch.float16), 0.04248046875)
Unit 120 -> (tensor(0.9780, device='cuda:0', dtype=torch.float16), 1.8818359375)
Unit 121 -> (tensor(0.9136, device='cuda:0', dtype=torch.float16), 1.90087890625)
Unit 122 -> (tensor(0.9321, device='cuda:0', dtype=torch.float16), 1.97998046875)
Unit 123 -> (tensor(0.9341, device='cuda:0', dtype=torch.float16), 0.0888671875)
Unit 124 -> (tensor(0.9731, device='cuda:0', dtype=torch.float16), 1.87890625)
Unit 125 -> (tensor(0.9287, device='cuda:0', dtype=torch.float16), 1.958984375)
Unit 126 -> (tensor(0.9761, device='cuda:0', dtype=torch.float16), 0.40234375)
Unit 127 -> (tensor(0.9673, device='cuda:0', dtype=torch.float16), 0.02880859375)
Unit 128 -> (tensor(0.9717, device='cuda:0', dtype=torch.float16), 1.96923828125)
Unit 129 -> (tensor(0.8442, device='cuda:0', dtype=torch.float16), 1.81787109375)
Unit 130 -> (tensor(0.8247, device='cuda:0', dtype=torch.float16), 1.66015625)
Unit 131 -> (tensor(0.9624, device='cuda:0', dtype=torch.float16), 1.90087890625)
Unit 132 -> (tensor(0.9663, device='cuda:0', dtype=torch.float16), 0.05908203125)
Unit 133 -> (tensor(0.9805, device='cuda:0', dtype=torch.float16), 0.1513671875)
Unit 134 -> (tensor(0.8896, device='cuda:0', dtype=torch.float16), 1.95166015625)
Unit 135 -> (tensor(0.9263, device='cuda:0', dtype=torch.float16), 1.9619140625)
Unit 136 -> (tensor(0.9175, device='cuda:0', dtype=torch.float16), 1.95263671875)
Unit 137 -> (tensor(0.9897, device='cuda:0', dtype=torch.float16), 1.1424560546875)
Unit 138 -> (tensor(0.9365, device='cuda:0', dtype=torch.float16), 1.96484375)
Unit 139 -> (tensor(0.9072, device='cuda:0', dtype=torch.float16), 0.271484375)
Unit 140 -> (tensor(0.9673, device='cuda:0', dtype=torch.float16), 0.02587890625)
Unit 141 -> (tensor(0.9546, device='cuda:0', dtype=torch.float16), 1.86279296875)
Unit 142 -> (tensor(0.9868, device='cuda:0', dtype=torch.float16), 0.09814453125)
Unit 143 -> (tensor(0.9448, device='cuda:0', dtype=torch.float16), 1.9541015625)
Unit 144 -> (tensor(0.9258, device='cuda:0', dtype=torch.float16), 1.96337890625)
Unit 145 -> (tensor(0.8320, device='cuda:0', dtype=torch.float16), 0.0986328125)
Unit 146 -> (tensor(0.8809, device='cuda:0', dtype=torch.float16), 1.96630859375)
Unit 147 -> (tensor(0.9194, device='cuda:0', dtype=torch.float16), 0.0712890625)
Unit 148 -> (tensor(0.5840, device='cuda:0', dtype=torch.float16), 0.84033203125)
Unit 149 -> (tensor(0.9478, device='cuda:0', dtype=torch.float16), 0.05615234375)
Unit 150 -> (tensor(0.9678, device='cuda:0', dtype=torch.float16), 0.0830078125)
Unit 151 -> (tensor(0.9507, device='cuda:0', dtype=torch.float16), 0.04833984375)
Unit 152 -> (tensor(0.9048, device='cuda:0', dtype=torch.float16), 1.93115234375)
Unit 153 -> (tensor(0.9658, device='cuda:0', dtype=torch.float16), 0.1015625)
Unit 154 -> (tensor(0.9595, device='cuda:0', dtype=torch.float16), 1.91064453125)
Unit 155 -> (tensor(0.9854, device='cuda:0', dtype=torch.float16), 1.92333984375)
Unit 156 -> (tensor(0.9448, device='cuda:0', dtype=torch.float16), 1.96337890625)
Unit 157 -> (tensor(0.9575, device='cuda:0', dtype=torch.float16), 0.3251953125)
Unit 158 -> (tensor(0.7637, device='cuda:0', dtype=torch.float16), 1.5380859375)
Unit 159 -> (tensor(0.9829, device='cuda:0', dtype=torch.float16), 0.09326171875)
Unit 160 -> (tensor(0.9419, device='cuda:0', dtype=torch.float16), 0.06640625)
Unit 161 -> (tensor(0.6904, device='cuda:0', dtype=torch.float16), 0.31396484375)
Unit 162 -> (tensor(0.9395, device='cuda:0', dtype=torch.float16), 1.845703125)
Unit 163 -> (tensor(0.9102, device='cuda:0', dtype=torch.float16), 1.9462890625)
Unit 164 -> (tensor(0.9673, device='cuda:0', dtype=torch.float16), 1.921875)
Unit 165 -> (tensor(0.9849, device='cuda:0', dtype=torch.float16), 1.7939453125)
Unit 166 -> (tensor(0.9595, device='cuda:0', dtype=torch.float16), 0.216796875)
Unit 167 -> (tensor(0.9702, device='cuda:0', dtype=torch.float16), 1.1680908203125)
Unit 168 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 169 -> (tensor(0.9478, device='cuda:0', dtype=torch.float16), 0.06103515625)
Unit 170 -> (tensor(0.9546, device='cuda:0', dtype=torch.float16), 1.97265625)
Unit 171 -> (tensor(0.9453, device='cuda:0', dtype=torch.float16), 1.92431640625)
Unit 172 -> (tensor(0.3640, device='cuda:0', dtype=torch.float16), 0.67578125)
Unit 173 -> (tensor(0.9678, device='cuda:0', dtype=torch.float16), 1.9501953125)
Unit 174 -> (tensor(0.9604, device='cuda:0', dtype=torch.float16), 1.94189453125)
Unit 175 -> (tensor(0.9272, device='cuda:0', dtype=torch.float16), 1.68359375)
Unit 176 -> (tensor(0.9585, device='cuda:0', dtype=torch.float16), 0.05126953125)
